Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
East Of England Commissioning Region,RDE,East Suffolk and North Essex NHS Foundation Trust,25,15,60.00%,25,18,72.00%,23,17,73.90%,23,15,65.20%,25,13,52.00%,25,16,64.00%,25,13,52.00%,25,15,60.00%,25,13,52.00%,25,19,76.00%,25,15,60.00%,25,16,64.00%,25,16,64.00%,25,18,72.00%,25,17,68.00%,25,20,80.00%,25,21,84.00%,22,19,86.40%,22,19,86.40%,22,16,72.70%,23,15,65.20%,25,14,56.00%,25,17,68.00%,25,18,72.00%,25,17,68.00%,25,19,76.00%,25,19,76.00%,25,19,76.00%,26,21,80.80%,22,19,86.40%,23,22,95.70%,23,20,87.00%,25,20,80.00%,25,20,80.00%,25,20,80.00%,25,20,80.00%,23,21,91.30%,22,16,72.70%,24,18,75.00%,25,16,64.00%,25,20,80.00%,25,21,84.00%,25,19,76.00%,23,20,87.00%,23,18,78.30%,22,17,77.30%,25,17,68.00%,25,16,64.00%,25,14,56.00%,25,18,72.00%,25,17,68.00%,25,17,68.00%,21,16,76.20%,25,18,72.00%,25,17,68.00%,25,16,64.00%,25,18,72.00%,25,22,88.00%,25,21,84.00%,24,23,95.80%,24,22,91.70%,25,23,92.00%,25,18,72.00%,25,14,56.00%,25,18,72.00%,25,15,60.00%,25,18,72.00%,25,18,72.00%,25,15,60.00%,25,17,68.00%,25,21,84.00%,21,17,81.00%,20,16,80.00%,24,18,75.00%,25,18,72.00%,25,15,60.00%,25,17,68.00%,25,16,64.00%,25,21,84.00%,22,20,90.90%,24,18,75.00%,19,13,68.40%,19,15,78.90%,19,14,73.70%,25,18,72.00%,25,17,68.00%,25,17,68.00%,25,21,84.00%,25,19,76.00%,25,18,72.00%,25,20,80.00%
East Of England Commissioning Region,RWH,East and North Hertfordshire NHS Trust,18,16,88.90%,18,16,88.90%,18,12,66.70%,18,11,61.10%,18,10,55.60%,18,17,94.40%,18,16,88.90%,18,17,94.40%,18,17,94.40%,18,15,83.30%,18,14,77.80%,18,17,94.40%,18,17,94.40%,18,16,88.90%,18,17,94.40%,18,16,88.90%,18,14,77.80%,18,16,88.90%,18,16,88.90%,18,15,83.30%,18,15,83.30%,18,17,94.40%,18,17,94.40%,18,17,94.40%,18,15,83.30%,18,15,83.30%,18,17,94.40%,18,17,94.40%,18,15,83.30%,18,17,94.40%,18,16,88.90%,18,17,94.40%,18,17,94.40%,18,17,94.40%,18,15,83.30%,20,20,100.00%,18,15,83.30%,18,16,88.90%,18,16,88.90%,18,18,100.00%,18,18,100.00%,18,18,100.00%,18,16,88.90%,18,17,94.40%,18,15,83.30%,18,14,77.80%,18,14,77.80%,18,17,94.40%,18,17,94.40%,18,17,94.40%,18,18,100.00%,18,18,100.00%,18,17,94.40%,18,16,88.90%,18,17,94.40%,18,14,77.80%,18,15,83.30%,18,12,66.70%,18,11,61.10%,18,15,83.30%,18,16,88.90%,18,16,88.90%,18,13,72.20%,18,17,94.40%,18,15,83.30%,18,16,88.90%,18,13,72.20%,18,11,61.10%,18,13,72.20%,18,12,66.70%,18,15,83.30%,18,12,66.70%,18,14,77.80%,18,16,88.90%,18,15,83.30%,18,15,83.30%,18,9,50.00%,18,14,77.80%,18,15,83.30%,18,16,88.90%,18,16,88.90%,18,16,88.90%,18,16,88.90%,18,17,94.40%,18,15,83.30%,18,14,77.80%,18,17,94.40%,18,13,72.20%,18,16,88.90%,18,17,94.40%,18,16,88.90%
East Of England Commissioning Region,RGP,James Paget University Hospitals NHS Foundation Trust,12,10,83.30%,12,7,58.30%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,9,75.00%,12,9,75.00%,12,8,66.70%,12,8,66.70%,12,10,83.30%,12,10,83.30%,12,9,75.00%,12,9,75.00%,12,9,75.00%,12,8,66.70%,12,9,75.00%,12,9,75.00%,12,9,75.00%,12,6,50.00%,12,7,58.30%,12,6,50.00%,12,6,50.00%,12,7,58.30%,12,6,50.00%,12,5,41.70%,12,6,50.00%,12,5,41.70%,12,7,58.30%,12,7,58.30%,12,7,58.30%,12,6,50.00%,12,6,50.00%,12,7,58.30%,12,8,66.70%,12,12,100.00%,12,9,75.00%,12,10,83.30%,12,10,83.30%,12,9,75.00%,12,11,91.70%,12,8,66.70%,12,9,75.00%,12,9,75.00%,12,11,91.70%,12,9,75.00%,12,9,75.00%,12,9,75.00%,12,9,75.00%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,10,83.30%,12,8,66.70%,12,8,66.70%,12,7,58.30%,12,8,66.70%,12,9,75.00%,12,8,66.70%,12,9,75.00%,12,9,75.00%,12,5,41.70%,12,8,66.70%,12,6,50.00%,12,9,75.00%,12,9,75.00%,12,9,75.00%,12,8,66.70%,12,8,66.70%,12,8,66.70%,12,9,75.00%,12,8,66.70%,12,8,66.70%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,9,75.00%,12,8,66.70%,12,7,58.30%,12,10,83.30%,12,9,75.00%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,10,83.30%
East Of England Commissioning Region,RC9,Luton and Dunstable University Hospital NHS Foundation Trust,18,11,61.10%,18,14,77.80%,18,12,66.70%,18,12,66.70%,18,12,66.70%,18,13,72.20%,18,12,66.70%,18,13,72.20%,18,11,61.10%,18,10,55.60%,18,11,61.10%,18,13,72.20%,18,16,88.90%,18,13,72.20%,18,12,66.70%,18,14,77.80%,18,15,83.30%,18,13,72.20%,18,14,77.80%,18,15,83.30%,18,15,83.30%,18,11,61.10%,18,13,72.20%,18,12,66.70%,18,11,61.10%,18,13,72.20%,18,14,77.80%,18,14,77.80%,18,15,83.30%,18,14,77.80%,18,15,83.30%,18,12,66.70%,18,14,77.80%,18,14,77.80%,18,15,83.30%,18,15,83.30%,18,11,61.10%,18,13,72.20%,18,16,88.90%,18,15,83.30%,18,12,66.70%,18,15,83.30%,18,16,88.90%,18,16,88.90%,18,15,83.30%,18,13,72.20%,18,13,72.20%,18,14,77.80%,18,14,77.80%,18,15,83.30%,18,14,77.80%,18,13,72.20%,18,16,88.90%,18,13,72.20%,18,14,77.80%,18,12,66.70%,18,15,83.30%,18,15,83.30%,18,15,83.30%,18,14,77.80%,18,15,83.30%,18,14,77.80%,18,14,77.80%,18,16,88.90%,18,17,94.40%,18,14,77.80%,18,16,88.90%,18,14,77.80%,18,12,66.70%,18,12,66.70%,18,14,77.80%,18,14,77.80%,18,13,72.20%,18,15,83.30%,18,13,72.20%,18,14,77.80%,18,14,77.80%,18,14,77.80%,18,15,83.30%,18,12,66.70%,18,11,61.10%,18,14,77.80%,18,13,72.20%,18,13,72.20%,18,16,88.90%,18,14,77.80%,18,14,77.80%,18,14,77.80%,18,12,66.70%,18,17,94.40%,18,14,77.80%
East Of England Commissioning Region,RQ8,Mid Essex Hospital Services NHS Trust,22,17,77.30%,23,18,78.30%,22,17,77.30%,22,18,81.80%,22,13,59.10%,0,0,-,0,0,-,22,14,63.60%,23,20,87.00%,23,18,78.30%,23,18,78.30%,23,16,69.60%,0,0,-,0,0,-,23,18,78.30%,22,16,72.70%,22,17,77.30%,25,18,72.00%,22,16,72.70%,0,0,-,0,0,-,21,14,66.70%,20,13,65.00%,22,12,54.50%,22,12,54.50%,22,9,40.90%,0,0,-,0,0,-,22,18,81.80%,22,13,59.10%,22,13,59.10%,23,14,60.90%,20,14,70.00%,0,0,-,0,0,-,22,16,72.70%,23,18,78.30%,26,19,73.10%,24,22,91.70%,22,18,81.80%,0,0,-,0,0,-,21,17,81.00%,24,15,62.50%,25,14,56.00%,22,14,63.60%,22,15,68.20%,0,0,-,0,0,-,22,16,72.70%,24,18,75.00%,23,14,60.90%,19,15,78.90%,20,17,85.00%,0,0,-,0,0,-,20,17,85.00%,20,17,85.00%,23,20,87.00%,21,19,90.50%,21,18,85.70%,0,0,-,0,0,-,20,19,95.00%,19,16,84.20%,22,14,63.60%,21,14,66.70%,19,15,78.90%,0,0,-,0,0,-,23,16,69.60%,22,13,59.10%,19,11,57.90%,18,10,55.60%,17,8,47.10%,0,0,-,0,0,-,23,11,47.80%,22,9,40.90%,22,10,45.50%,24,12,50.00%,23,11,47.80%,0,0,-,0,0,-,21,13,61.90%,20,13,65.00%,20,12,60.00%,19,10,52.60%,19,11,57.90%,0,0,-,0,0,-
East Of England Commissioning Region,RD8,Milton Keynes University Hospital NHS Foundation Trust,9,5,55.60%,9,6,66.70%,9,6,66.70%,9,6,66.70%,9,5,55.60%,9,5,55.60%,9,7,77.80%,9,7,77.80%,9,9,100.00%,9,7,77.80%,9,9,100.00%,9,5,55.60%,9,5,55.60%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,5,55.60%,9,6,66.70%,9,7,77.80%,9,6,66.70%,9,6,66.70%,9,6,66.70%,9,6,66.70%,9,7,77.80%,9,5,55.60%,9,6,66.70%,9,7,77.80%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,5,55.60%,9,5,55.60%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,7,77.80%,9,8,88.90%,9,5,55.60%,9,5,55.60%,9,7,77.80%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,6,66.70%,9,7,77.80%,9,8,88.90%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,7,77.80%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,6,66.70%,9,6,66.70%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,4,44.40%,9,6,66.70%,9,9,100.00%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,7,77.80%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,6,66.70%,9,6,66.70%,9,7,77.80%,9,6,66.70%,9,6,66.70%,9,5,55.60%,9,5,55.60%,9,7,77.80%
East Of England Commissioning Region,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,26,21,80.80%,22,19,86.40%,23,21,91.30%,25,23,92.00%,25,21,84.00%,23,20,87.00%,23,18,78.30%,24,21,87.50%,25,23,92.00%,25,20,80.00%,25,20,80.00%,25,22,88.00%,25,23,92.00%,23,19,82.60%,26,23,88.50%,28,23,82.10%,27,23,85.20%,26,23,88.50%,28,19,67.90%,28,16,57.10%,28,14,50.00%,18,16,88.90%,28,19,67.90%,25,16,64.00%,28,19,67.90%,26,20,76.90%,24,18,75.00%,28,17,60.70%,27,16,59.30%,20,12,60.00%,20,10,50.00%,20,14,70.00%,20,16,80.00%,20,14,70.00%,20,15,75.00%,20,16,80.00%,20,17,85.00%,20,17,85.00%,20,16,80.00%,20,16,80.00%,20,16,80.00%,20,15,75.00%,20,16,80.00%,20,17,85.00%,20,16,80.00%,20,16,80.00%,20,16,80.00%,20,16,80.00%,20,15,75.00%,20,15,75.00%,20,16,80.00%,20,15,75.00%,20,15,75.00%,20,16,80.00%,20,17,85.00%,20,16,80.00%,20,14,70.00%,20,15,75.00%,20,18,90.00%,20,15,75.00%,20,17,85.00%,20,16,80.00%,18,15,83.30%,18,15,83.30%,20,17,85.00%,20,18,90.00%,20,17,85.00%,20,16,80.00%,20,15,75.00%,20,15,75.00%,21,18,85.70%,20,15,75.00%,20,17,85.00%,20,16,80.00%,20,15,75.00%,20,16,80.00%,20,15,75.00%,20,15,75.00%,20,17,85.00%,20,18,90.00%,20,19,95.00%,20,18,90.00%,20,15,75.00%,20,17,85.00%,20,13,65.00%,20,15,75.00%,20,18,90.00%,20,16,80.00%,20,17,85.00%,20,15,75.00%,20,14,70.00%
East Of England Commissioning Region,RGN,North West Anglia NHS Foundation Trust,22,22,100.00%,22,20,90.90%,22,16,72.70%,22,14,63.60%,22,15,68.20%,22,19,86.40%,22,15,68.20%,22,16,72.70%,22,15,68.20%,22,16,72.70%,22,14,63.60%,22,12,54.50%,22,13,59.10%,22,14,63.60%,22,17,77.30%,22,16,72.70%,22,14,63.60%,22,17,77.30%,22,17,77.30%,22,16,72.70%,22,16,72.70%,22,16,72.70%,22,13,59.10%,22,13,59.10%,22,15,68.20%,22,16,72.70%,22,15,68.20%,22,15,68.20%,22,13,59.10%,22,15,68.20%,22,13,59.10%,22,13,59.10%,22,15,68.20%,22,14,63.60%,22,15,68.20%,22,16,72.70%,22,16,72.70%,22,15,68.20%,22,15,68.20%,22,15,68.20%,22,14,63.60%,22,15,68.20%,22,19,86.40%,22,17,77.30%,22,12,54.50%,22,14,63.60%,22,14,63.60%,22,11,50.00%,22,13,59.10%,22,14,63.60%,22,12,54.50%,22,14,63.60%,22,14,63.60%,22,10,45.50%,22,11,50.00%,22,11,50.00%,22,13,59.10%,22,16,72.70%,22,13,59.10%,22,13,59.10%,22,11,50.00%,22,11,50.00%,22,13,59.10%,22,13,59.10%,22,11,50.00%,22,17,77.30%,22,13,59.10%,22,12,54.50%,22,11,50.00%,22,12,54.50%,22,14,63.60%,22,17,77.30%,22,13,59.10%,22,12,54.50%,22,13,59.10%,22,13,59.10%,22,14,63.60%,22,13,59.10%,22,13,59.10%,22,13,59.10%,22,16,72.70%,22,14,63.60%,22,18,81.80%,22,15,68.20%,22,18,81.80%,22,20,90.90%,22,15,68.20%,22,15,68.20%,22,13,59.10%,22,14,63.60%,22,15,68.20%
East Of England Commissioning Region,RAJ,Southend University Hospital NHS Foundation Trust,26,26,100.00%,27,27,100.00%,26,26,100.00%,27,27,100.00%,26,26,100.00%,26,24,92.30%,26,23,88.50%,26,22,84.60%,26,22,84.60%,26,21,80.80%,26,20,76.90%,26,17,65.40%,26,20,76.90%,26,25,96.20%,26,26,100.00%,26,25,96.20%,26,26,100.00%,26,24,92.30%,26,24,92.30%,26,22,84.60%,26,24,92.30%,26,21,80.80%,26,21,80.80%,26,22,84.60%,26,23,88.50%,26,23,88.50%,26,22,84.60%,26,22,84.60%,26,22,84.60%,26,23,88.50%,26,23,88.50%,26,23,88.50%,26,22,84.60%,26,24,92.30%,26,24,92.30%,28,28,100.00%,27,27,100.00%,26,26,100.00%,27,27,100.00%,26,24,92.30%,26,22,84.60%,26,21,80.80%,26,23,88.50%,26,24,92.30%,26,24,92.30%,26,26,100.00%,26,26,100.00%,26,22,84.60%,26,24,92.30%,26,26,100.00%,26,24,92.30%,26,22,84.60%,26,25,96.20%,26,23,88.50%,26,23,88.50%,26,21,80.80%,26,26,100.00%,26,22,84.60%,26,24,92.30%,26,26,100.00%,26,22,84.60%,26,22,84.60%,26,25,96.20%,26,26,100.00%,26,24,92.30%,26,23,88.50%,26,23,88.50%,26,22,84.60%,26,21,80.80%,26,21,80.80%,26,24,92.30%,26,26,100.00%,26,0,0.00%,26,0,0.00%,26,22,84.60%,26,22,84.60%,26,22,84.60%,26,23,88.50%,26,25,96.20%,26,22,84.60%,26,24,92.30%,26,26,100.00%,26,24,92.30%,26,25,96.20%,27,27,100.00%,26,24,92.30%,26,23,88.50%,26,25,96.20%,26,25,96.20%,26,22,84.60%,26,23,88.50%
East Of England Commissioning Region,RQW,The Princess Alexandra Hospital NHS Trust,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,7,70.00%,10,7,70.00%,10,7,70.00%,10,6,60.00%,10,6,60.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,10,100.00%,10,10,100.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,6,60.00%,10,8,80.00%,10,6,60.00%,10,8,80.00%,10,9,90.00%,10,8,80.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,10,100.00%,10,7,70.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,6,60.00%,10,8,80.00%,10,8,80.00%,10,8,80.00%,10,8,80.00%,10,8,80.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,10,7,70.00%,10,6,60.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,6,60.00%,10,6,60.00%,10,8,80.00%,10,7,70.00%,10,5,50.00%,10,4,40.00%,10,8,80.00%,10,6,60.00%,10,8,80.00%,10,7,70.00%,10,9,90.00%,10,9,90.00%,10,7,70.00%,10,8,80.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,7,70.00%,10,8,80.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,8,80.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%
East Of England Commissioning Region,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",13,8,61.50%,13,9,69.20%,13,7,53.80%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,12,92.30%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,13,100.00%,13,10,76.90%,13,11,84.60%,13,11,84.60%,13,11,84.60%,13,11,84.60%,13,11,84.60%,13,12,92.30%,13,12,92.30%,13,12,92.30%,13,12,92.30%,13,12,92.30%,13,12,92.30%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,9,69.20%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,9,69.20%,13,8,61.50%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,8,61.50%,13,8,61.50%,13,9,69.20%,13,10,76.90%,13,10,76.90%,13,9,69.20%,13,9,69.20%,13,10,76.90%,13,8,61.50%,13,9,69.20%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,8,61.50%,13,11,84.60%,13,11,84.60%,13,12,92.30%,13,10,76.90%,13,12,92.30%,13,10,76.90%,13,10,76.90%,13,10,76.90%,13,13,100.00%,13,10,76.90%,13,13,100.00%,13,10,76.90%,13,9,69.20%,13,9,69.20%,13,9,69.20%,13,6,46.20%,13,10,76.90%,13,8,61.50%,13,8,61.50%,13,9,69.20%,13,9,69.20%,13,9,69.20%
East Of England Commissioning Region,RWG,West Hertfordshire Hospitals NHS Trust,19,13,68.40%,19,13,68.40%,19,10,52.60%,19,7,36.80%,19,7,36.80%,19,10,52.60%,19,12,63.20%,19,13,68.40%,19,9,47.40%,19,13,68.40%,19,13,68.40%,19,12,63.20%,19,13,68.40%,19,14,73.70%,19,13,68.40%,19,12,63.20%,19,12,63.20%,19,14,73.70%,19,14,73.70%,19,15,78.90%,19,13,68.40%,19,14,73.70%,19,12,63.20%,19,10,52.60%,19,11,57.90%,19,14,73.70%,19,15,78.90%,19,15,78.90%,19,16,84.20%,19,12,63.20%,19,13,68.40%,19,13,68.40%,19,14,73.70%,19,13,68.40%,19,11,57.90%,19,12,63.20%,19,12,63.20%,19,14,73.70%,19,14,73.70%,19,12,63.20%,19,13,68.40%,19,13,68.40%,19,13,68.40%,19,14,73.70%,19,11,57.90%,19,11,57.90%,19,13,68.40%,19,14,73.70%,19,16,84.20%,19,13,68.40%,19,12,63.20%,19,15,78.90%,19,15,78.90%,19,15,78.90%,19,12,63.20%,19,13,68.40%,19,13,68.40%,19,16,84.20%,19,18,94.70%,19,12,63.20%,19,13,68.40%,19,12,63.20%,19,12,63.20%,19,15,78.90%,19,13,68.40%,19,11,57.90%,19,15,78.90%,19,12,63.20%,19,12,63.20%,19,12,63.20%,19,8,42.10%,19,8,42.10%,19,12,63.20%,19,14,73.70%,19,13,68.40%,19,15,78.90%,19,15,78.90%,19,13,68.40%,19,14,73.70%,19,13,68.40%,19,14,73.70%,19,10,52.60%,19,13,68.40%,19,12,63.20%,19,12,63.20%,19,12,63.20%,19,14,73.70%,19,14,73.70%,19,19,100.00%,19,16,84.20%,19,15,78.90%
