Code,Name,CC Adult Open_43437,CC Adult Occ_43437,Occupancy rate_43437,CC Adult Open_43438,CC Adult Occ_43438,Occupancy rate_43438,CC Adult Open_43439,CC Adult Occ_43439,Occupancy rate_43439,CC Adult Open_43440,CC Adult Occ_43440,Occupancy rate_43440,CC Adult Open_43441,CC Adult Occ_43441,Occupancy rate_43441,CC Adult Open_43442,CC Adult Occ_43442,Occupancy rate_43442,CC Adult Open_43443,CC Adult Occ_43443,Occupancy rate_43443,CC Adult Open_43444,CC Adult Occ_43444,Occupancy rate_43444,CC Adult Open_43445,CC Adult Occ_43445,Occupancy rate_43445,CC Adult Open_43446,CC Adult Occ_43446,Occupancy rate_43446,CC Adult Open_43447,CC Adult Occ_43447,Occupancy rate_43447,CC Adult Open_43448,CC Adult Occ_43448,Occupancy rate_43448,CC Adult Open_43449,CC Adult Occ_43449,Occupancy rate_43449,CC Adult Open_43450,CC Adult Occ_43450,Occupancy rate_43450,CC Adult Open_43451,CC Adult Occ_43451,Occupancy rate_43451,CC Adult Open_43452,CC Adult Occ_43452,Occupancy rate_43452,CC Adult Open_43453,CC Adult Occ_43453,Occupancy rate_43453,CC Adult Open_43454,CC Adult Occ_43454,Occupancy rate_43454,CC Adult Open_43455,CC Adult Occ_43455,Occupancy rate_43455,CC Adult Open_43456,CC Adult Occ_43456,Occupancy rate_43456,CC Adult Open_43457,CC Adult Occ_43457,Occupancy rate_43457,CC Adult Open_43458,CC Adult Occ_43458,Occupancy rate_43458,CC Adult Open_43459,CC Adult Occ_43459,Occupancy rate_43459,CC Adult Open_43460,CC Adult Occ_43460,Occupancy rate_43460,CC Adult Open_43461,CC Adult Occ_43461,Occupancy rate_43461,CC Adult Open_43462,CC Adult Occ_43462,Occupancy rate_43462,CC Adult Open_43463,CC Adult Occ_43463,Occupancy rate_43463,CC Adult Open_43464,CC Adult Occ_43464,Occupancy rate_43464,CC Adult Open_43465,CC Adult Occ_43465,Occupancy rate_43465,CC Adult Open_43466,CC Adult Occ_43466,Occupancy rate_43466,CC Adult Open_43467,CC Adult Occ_43467,Occupancy rate_43467,CC Adult Open_43468,CC Adult Occ_43468,Occupancy rate_43468,CC Adult Open_43469,CC Adult Occ_43469,Occupancy rate_43469,CC Adult Open_43470,CC Adult Occ_43470,Occupancy rate_43470,CC Adult Open_43471,CC Adult Occ_43471,Occupancy rate_43471,CC Adult Open_43472,CC Adult Occ_43472,Occupancy rate_43472,CC Adult Open_43473,CC Adult Occ_43473,Occupancy rate_43473,CC Adult Open_43474,CC Adult Occ_43474,Occupancy rate_43474,CC Adult Open_43475,CC Adult Occ_43475,Occupancy rate_43475,CC Adult Open_43476,CC Adult Occ_43476,Occupancy rate_43476,CC Adult Open_43477,CC Adult Occ_43477,Occupancy rate_43477,CC Adult Open_43478,CC Adult Occ_43478,Occupancy rate_43478,CC Adult Open_43479,CC Adult Occ_43479,Occupancy rate_43479,CC Adult Open_43480,CC Adult Occ_43480,Occupancy rate_43480,CC Adult Open_43481,CC Adult Occ_43481,Occupancy rate_43481,CC Adult Open_43482,CC Adult Occ_43482,Occupancy rate_43482,CC Adult Open_43483,CC Adult Occ_43483,Occupancy rate_43483,CC Adult Open_43484,CC Adult Occ_43484,Occupancy rate_43484,CC Adult Open_43485,CC Adult Occ_43485,Occupancy rate_43485,CC Adult Open_43486,CC Adult Occ_43486,Occupancy rate_43486,CC Adult Open_43487,CC Adult Occ_43487,Occupancy rate_43487,CC Adult Open_43488,CC Adult Occ_43488,Occupancy rate_43488,CC Adult Open_43489,CC Adult Occ_43489,Occupancy rate_43489,CC Adult Open_43490,CC Adult Occ_43490,Occupancy rate_43490,CC Adult Open_43491,CC Adult Occ_43491,Occupancy rate_43491,CC Adult Open_43492,CC Adult Occ_43492,Occupancy rate_43492,CC Adult Open_43493,CC Adult Occ_43493,Occupancy rate_43493,CC Adult Open_43494,CC Adult Occ_43494,Occupancy rate_43494,CC Adult Open_43495,CC Adult Occ_43495,Occupancy rate_43495,CC Adult Open_43496,CC Adult Occ_43496,Occupancy rate_43496,CC Adult Open_43497,CC Adult Occ_43497,Occupancy rate_43497,CC Adult Open_43498,CC Adult Occ_43498,Occupancy rate_43498,CC Adult Open_43499,CC Adult Occ_43499,Occupancy rate_43499,CC Adult Open_43500,CC Adult Occ_43500,Occupancy rate_43500,CC Adult Open_43501,CC Adult Occ_43501,Occupancy rate_43501,CC Adult Open_43502,CC Adult Occ_43502,Occupancy rate_43502,CC Adult Open_43503,CC Adult Occ_43503,Occupancy rate_43503,CC Adult Open_43504,CC Adult Occ_43504,Occupancy rate_43504,CC Adult Open_43505,CC Adult Occ_43505,Occupancy rate_43505,CC Adult Open_43506,CC Adult Occ_43506,Occupancy rate_43506,CC Adult Open_43507,CC Adult Occ_43507,Occupancy rate_43507,CC Adult Open_43508,CC Adult Occ_43508,Occupancy rate_43508,CC Adult Open_43509,CC Adult Occ_43509,Occupancy rate_43509,CC Adult Open_43510,CC Adult Occ_43510,Occupancy rate_43510,CC Adult Open_43511,CC Adult Occ_43511,Occupancy rate_43511,CC Adult Open_43512,CC Adult Occ_43512,Occupancy rate_43512,CC Adult Open_43513,CC Adult Occ_43513,Occupancy rate_43513,CC Adult Open_43514,CC Adult Occ_43514,Occupancy rate_43514,CC Adult Open_43515,CC Adult Occ_43515,Occupancy rate_43515,CC Adult Open_43516,CC Adult Occ_43516,Occupancy rate_43516,CC Adult Open_43517,CC Adult Occ_43517,Occupancy rate_43517,CC Adult Open_43518,CC Adult Occ_43518,Occupancy rate_43518,CC Adult Open_43519,CC Adult Occ_43519,Occupancy rate_43519,CC Adult Open_43520,CC Adult Occ_43520,Occupancy rate_43520,CC Adult Open_43521,CC Adult Occ_43521,Occupancy rate_43521,CC Adult Open_43522,CC Adult Occ_43522,Occupancy rate_43522,CC Adult Open_43523,CC Adult Occ_43523,Occupancy rate_43523,CC Adult Open_43524,CC Adult Occ_43524,Occupancy rate_43524,CC Adult Open_43525,CC Adult Occ_43525,Occupancy rate_43525,CC Adult Open_43526,CC Adult Occ_43526,Occupancy rate_43526,CC Adult Open_43527,CC Adult Occ_43527,Occupancy rate_43527
RGT,Cambridge University Hospitals NHS Foundation Trust,64,58,90.6%,65,58,89.2%,64,54,84.4%,65,55,84.6%,63,56,88.9%,64,51,79.7%,64,49,76.6%,64,57,89.1%,65,51,78.5%,65,47,72.3%,65,50,76.9%,65,53,81.5%,65,52,80.0%,65,53,81.5%,64,54,84.4%,65,54,83.1%,65,57,87.7%,65,52,80.0%,65,49,75.4%,65,46,70.8%,65,46,70.8%,65,50,76.9%,65,54,83.1%,65,50,76.9%,65,50,76.9%,65,50,76.9%,65,47,72.3%,65,49,75.4%,65,50,76.9%,65,52,80.0%,65,55,84.6%,65,59,90.8%,64,58,90.6%,65,58,89.2%,65,50,76.9%,65,59,90.8%,65,55,84.6%,65,58,89.2%,65,62,95.4%,65,54,83.1%,65,54,83.1%,65,53,81.5%,65,59,90.8%,65,57,87.7%,64,54,84.4%,65,55,84.6%,65,58,89.2%,65,51,78.5%,65,49,75.4%,65,53,81.5%,65,53,81.5%,64,57,89.1%,65,54,83.1%,65,59,90.8%,65,51,78.5%,65,53,81.5%,65,61,93.8%,64,57,89.1%,65,59,90.8%,65,52,80.0%,65,52,80.0%,65,53,81.5%,65,51,78.5%,65,59,90.8%,65,56,86.2%,65,60,92.3%,65,62,95.4%,65,60,92.3%,65,50,76.9%,65,53,81.5%,65,58,89.2%,65,55,84.6%,65,61,93.8%,65,58,89.2%,65,55,84.6%,65,54,83.1%,64,54,84.4%,65,59,90.8%,65,59,90.8%,65,58,89.2%,65,60,92.3%,65,54,83.1%,65,57,87.7%,65,55,84.6%,65,60,92.3%,65,55,84.6%,65,60,92.3%,65,60,92.3%,65,59,90.8%,65,56,86.2%,65,52,80.0%
RFS,Chesterfield Royal Hospital NHS Foundation Trust,15,11,73.3%,15,12,80.0%,15,10,66.7%,15,12,80.0%,15,14,93.3%,15,13,86.7%,15,12,80.0%,15,11,73.3%,15,10,66.7%,15,13,86.7%,15,13,86.7%,15,12,80.0%,15,10,66.7%,15,10,66.7%,15,10,66.7%,15,12,80.0%,15,15,100.0%,15,11,73.3%,15,15,100.0%,15,15,100.0%,15,15,100.0%,15,14,93.3%,15,14,93.3%,15,15,100.0%,15,15,100.0%,15,15,100.0%,15,13,86.7%,15,13,86.7%,15,13,86.7%,15,12,80.0%,15,9,60.0%,15,15,100.0%,15,12,80.0%,15,15,100.0%,15,13,86.7%,15,15,100.0%,15,12,80.0%,15,13,86.7%,15,15,100.0%,15,14,93.3%,15,15,100.0%,15,15,100.0%,15,14,93.3%,15,15,100.0%,15,15,100.0%,15,13,86.7%,15,13,86.7%,15,15,100.0%,15,12,80.0%,15,13,86.7%,15,15,100.0%,15,15,100.0%,15,14,93.3%,15,14,93.3%,15,13,86.7%,15,15,100.0%,15,11,73.3%,15,14,93.3%,15,13,86.7%,15,13,86.7%,15,9,60.0%,15,9,60.0%,15,12,80.0%,15,12,80.0%,15,13,86.7%,15,11,73.3%,15,14,93.3%,15,15,100.0%,15,13,86.7%,15,15,100.0%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,13,86.7%,15,15,100.0%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,13,86.7%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,14,93.3%,15,12,80.0%,15,13,86.7%,15,12,80.0%,15,13,86.7%,15,13,86.7%,15,12,80.0%
RWH,East and North Hertfordshire NHS Trust,20,16,80.0%,20,14,70.0%,20,16,80.0%,20,16,80.0%,20,15,75.0%,20,16,80.0%,20,13,65.0%,20,5,25.0%,20,18,90.0%,20,18,90.0%,20,18,90.0%,20,17,85.0%,20,18,90.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,20,17,85.0%,20,15,75.0%,20,15,75.0%,20,14,70.0%,20,14,70.0%,20,17,85.0%,20,18,90.0%,20,17,85.0%,20,19,95.0%,20,16,80.0%,20,13,65.0%,20,16,80.0%,20,19,95.0%,20,18,90.0%,20,20,100.0%,20,17,85.0%,20,17,85.0%,20,15,75.0%,20,16,80.0%,20,15,75.0%,20,15,75.0%,20,15,75.0%,20,15,75.0%,20,18,90.0%,20,17,85.0%,20,19,95.0%,20,20,100.0%,20,18,90.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,20,17,85.0%,20,16,80.0%,20,18,90.0%,20,17,85.0%,20,18,90.0%,20,16,80.0%,20,16,80.0%,20,17,85.0%,20,18,90.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,18,90.0%,20,20,100.0%,20,18,90.0%,20,18,90.0%,20,15,75.0%,20,19,95.0%,20,19,95.0%,20,18,90.0%,20,20,100.0%,20,16,80.0%,20,20,100.0%,20,19,95.0%,20,19,95.0%,20,11,55.0%,20,15,75.0%,20,16,80.0%,20,17,85.0%,20,18,90.0%,20,19,95.0%,20,19,95.0%,20,20,100.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,20,18,90.0%,20,15,75.0%,20,15,75.0%,20,15,75.0%,20,14,70.0%
RDE,East Suffolk and North Essex NHS Foundation Trust,25,15,60.0%,23,12,52.2%,22,16,72.7%,23,17,73.9%,37,22,59.5%,37,18,48.6%,25,14,56.0%,25,15,60.0%,24,17,70.8%,23,16,69.6%,25,22,88.0%,25,20,80.0%,25,17,68.0%,25,18,72.0%,25,19,76.0%,23,20,87.0%,22,19,86.4%,21,15,71.4%,23,22,95.7%,24,19,79.2%,24,19,79.2%,24,20,83.3%,24,20,83.3%,24,20,83.3%,21,15,71.4%,24,19,79.2%,24,16,66.7%,24,18,75.0%,25,21,84.0%,24,22,91.7%,25,22,88.0%,24,21,87.5%,25,20,80.0%,21,20,95.2%,25,19,76.0%,25,20,80.0%,25,20,80.0%,24,21,87.5%,22,16,72.7%,25,19,76.0%,25,21,84.0%,25,18,72.0%,25,18,72.0%,21,17,81.0%,23,19,82.6%,24,18,75.0%,25,17,68.0%,25,16,64.0%,25,17,68.0%,25,18,72.0%,25,21,84.0%,24,21,87.5%,22,19,86.4%,25,20,80.0%,25,24,96.0%,25,23,92.0%,25,19,76.0%,22,17,77.3%,23,19,82.6%,23,21,91.3%,25,19,76.0%,25,17,68.0%,25,17,68.0%,25,21,84.0%,22,20,90.9%,23,21,91.3%,25,18,72.0%,25,16,64.0%,25,18,72.0%,25,20,80.0%,25,22,88.0%,25,22,88.0%,25,23,92.0%,25,23,92.0%,25,20,80.0%,25,19,76.0%,25,19,76.0%,25,21,84.0%,23,19,82.6%,24,21,87.5%,20,18,90.0%,25,15,60.0%,25,17,68.0%,25,17,68.0%,25,17,68.0%,22,16,72.7%,23,20,87.0%,22,17,77.3%,25,16,64.0%,25,17,68.0%,25,18,72.0%
RLT,George Eliot Hospital NHS Trust,8,6,75.0%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,6,75.0%,8,5,62.5%,8,6,75.0%,8,5,62.5%,8,5,62.5%,8,6,75.0%,8,8,100.0%,8,5,62.5%,8,5,62.5%,8,5,62.5%,8,5,62.5%,8,7,87.5%,8,7,87.5%,8,6,75.0%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,6,75.0%,8,8,100.0%,8,6,75.0%,8,8,100.0%,8,7,87.5%,8,7,87.5%,8,8,100.0%,8,7,87.5%,8,7,87.5%,8,7,87.5%,8,7,87.5%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,7,87.5%,8,7,87.5%,8,5,62.5%,8,6,75.0%,8,3,37.5%,8,6,75.0%,8,5,62.5%,8,6,75.0%,8,3,37.5%,8,2,25.0%,8,2,25.0%,8,2,25.0%,8,2,25.0%,8,5,62.5%,8,3,37.5%,8,3,37.5%,8,3,37.5%,8,3,37.5%,8,6,75.0%,8,7,87.5%,8,6,75.0%,8,7,87.5%,8,3,37.5%,8,4,50.0%,8,3,37.5%,8,4,50.0%,8,3,37.5%,8,3,37.5%,8,8,100.0%,8,3,37.5%,8,7,87.5%,8,8,100.0%,8,7,87.5%,8,8,100.0%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,5,62.5%,8,6,75.0%,8,6,75.0%,8,5,62.5%,8,6,75.0%,8,5,62.5%,8,8,100.0%,8,6,75.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%
RGP,James Paget University Hospitals NHS Foundation Trust,12,10,83.3%,12,10,83.3%,12,8,66.7%,12,8,66.7%,12,8,66.7%,12,7,58.3%,12,9,75.0%,12,9,75.0%,12,6,50.0%,12,7,58.3%,12,8,66.7%,12,8,66.7%,12,9,75.0%,12,8,66.7%,12,8,66.7%,12,9,75.0%,12,10,83.3%,12,9,75.0%,12,8,66.7%,12,10,83.3%,12,9,75.0%,12,9,75.0%,12,10,83.3%,12,10,83.3%,12,9,75.0%,12,10,83.3%,12,8,66.7%,12,10,83.3%,12,11,91.7%,12,10,83.3%,12,8,66.7%,12,7,58.3%,12,9,75.0%,12,7,58.3%,12,7,58.3%,12,8,66.7%,12,9,75.0%,12,9,75.0%,12,9,75.0%,12,9,75.0%,12,8,66.7%,12,7,58.3%,12,8,66.7%,12,7,58.3%,12,8,66.7%,12,8,66.7%,12,8,66.7%,12,9,75.0%,12,8,66.7%,12,11,91.7%,12,10,83.3%,12,11,91.7%,12,12,100.0%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,9,75.0%,12,8,66.7%,12,10,83.3%,12,8,66.7%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,9,75.0%,12,8,66.7%,12,8,66.7%,12,6,50.0%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,8,66.7%,12,10,83.3%,12,10,83.3%,12,9,75.0%,12,9,75.0%,12,10,83.3%,12,8,66.7%,12,9,75.0%,12,9,75.0%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,11,91.7%,12,9,75.0%,12,10,83.3%,12,9,75.0%,12,9,75.0%,12,9,75.0%
RNQ,Kettering General Hospital NHS Foundation Trust,12,12,100.0%,12,10,83.3%,12,11,91.7%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,11,91.7%,12,9,75.0%,12,12,100.0%,12,11,91.7%,12,9,75.0%,12,11,91.7%,12,12,100.0%,12,12,100.0%,12,10,83.3%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,9,75.0%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,8,66.7%,12,9,75.0%,12,10,83.3%,12,8,66.7%,12,8,66.7%,12,8,66.7%,12,11,91.7%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,11,91.7%,12,10,83.3%,12,7,58.3%,12,8,66.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,8,66.7%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,12,100.0%,12,12,100.0%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,11,91.7%,12,10,83.3%,12,9,75.0%,12,9,75.0%,12,11,91.7%,12,10,83.3%,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,12,100.0%
RC9,Luton and Dunstable University Hospital NHS Foundation Trust,18,15,83.3%,18,16,88.9%,18,13,72.2%,18,16,88.9%,18,14,77.8%,18,13,72.2%,18,14,77.8%,18,15,83.3%,18,16,88.9%,18,14,77.8%,18,13,72.2%,18,15,83.3%,18,14,77.8%,18,15,83.3%,18,12,66.7%,18,15,83.3%,18,11,61.1%,18,13,72.2%,18,11,61.1%,18,12,66.7%,18,14,77.8%,18,13,72.2%,18,10,55.6%,18,11,61.1%,18,12,66.7%,18,14,77.8%,18,12,66.7%,18,12,66.7%,18,14,77.8%,18,15,83.3%,18,14,77.8%,18,13,72.2%,18,12,66.7%,18,13,72.2%,18,14,77.8%,18,12,66.7%,18,13,72.2%,18,15,83.3%,18,13,72.2%,18,14,77.8%,18,14,77.8%,18,13,72.2%,18,15,83.3%,18,15,83.3%,18,16,88.9%,18,15,83.3%,18,15,83.3%,18,14,77.8%,18,15,83.3%,18,17,94.4%,18,17,94.4%,18,14,77.8%,18,15,83.3%,18,16,88.9%,18,11,61.1%,18,12,66.7%,18,12,66.7%,18,15,83.3%,18,13,72.2%,18,15,83.3%,18,15,83.3%,18,15,83.3%,18,16,88.9%,18,15,83.3%,18,15,83.3%,18,14,77.8%,18,15,83.3%,18,15,83.3%,18,13,72.2%,18,14,77.8%,18,16,88.9%,18,14,77.8%,18,12,66.7%,18,13,72.2%,18,13,72.2%,18,11,61.1%,18,13,72.2%,18,15,83.3%,18,14,77.8%,18,13,72.2%,18,14,77.8%,18,15,83.3%,18,16,88.9%,18,14,77.8%,18,16,88.9%,18,15,83.3%,18,15,83.3%,18,14,77.8%,18,15,83.3%,18,12,66.7%,18,15,83.3%
RQ8,Mid Essex Hospital Services NHS Trust,21,16,76.2%,22,14,63.6%,22,12,54.5%,22,12,54.5%,22,12,54.5%,0,0,-,0,0,-,22,15,68.2%,21,14,66.7%,21,14,66.7%,21,17,81.0%,0,0,-,0,0,-,0,0,-,22,17,77.3%,25,20,80.0%,21,16,76.2%,21,16,76.2%,21,16,76.2%,0,0,-,0,0,-,21,16,76.2%,21,16,76.2%,21,16,76.2%,21,16,76.2%,21,13,61.9%,21,11,52.4%,21,17,81.0%,21,11,52.4%,21,17,81.0%,23,12,52.2%,25,16,64.0%,0,0,-,0,0,-,0,0,-,24,18,75.0%,26,18,69.2%,23,17,73.9%,23,18,78.3%,21,15,71.4%,0,0,-,0,0,-,18,11,61.1%,24,15,62.5%,25,16,64.0%,24,19,79.2%,22,18,81.8%,0,0,-,0,0,-,21,16,76.2%,23,17,73.9%,23,17,73.9%,22,18,81.8%,21,15,71.4%,0,0,-,0,0,-,17,12,70.6%,22,19,86.4%,24,18,75.0%,23,18,78.3%,24,19,79.2%,0,0,-,0,0,-,23,20,87.0%,23,18,78.3%,26,20,76.9%,25,19,76.0%,25,21,84.0%,0,0,-,0,0,-,21,19,90.5%,22,19,86.4%,22,16,72.7%,21,16,76.2%,24,18,75.0%,0,0,-,0,0,-,22,16,72.7%,25,18,72.0%,24,18,75.0%,24,19,79.2%,24,19,79.2%,0,0,-,0,0,-,23,20,87.0%,23,18,78.3%,26,16,61.5%,25,19,76.0%,21,16,76.2%,0,0,-,0,0,-
RD8,Milton Keynes University Hospital NHS Foundation Trust,9,5,55.6%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,6,66.7%,9,5,55.6%,9,6,66.7%,9,5,55.6%,9,5,55.6%,9,6,66.7%,9,3,33.3%,9,4,44.4%,9,4,44.4%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,6,66.7%,9,6,66.7%,9,5,55.6%,9,6,66.7%,9,7,77.8%,9,5,55.6%,9,5,55.6%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,6,66.7%,9,5,55.6%,9,6,66.7%,9,8,88.9%,9,9,100.0%,9,8,88.9%,9,6,66.7%,9,6,66.7%,9,7,77.8%,9,5,55.6%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,8,88.9%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,7,77.8%,9,8,88.9%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,5,55.6%,9,5,55.6%,9,8,88.9%,9,9,100.0%,9,7,77.8%,9,8,88.9%,9,5,55.6%,9,5,55.6%,9,5,55.6%,9,5,55.6%,9,6,66.7%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,6,66.7%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,6,66.7%,9,6,66.7%,9,6,66.7%,9,5,55.6%,9,4,44.4%,9,5,55.6%,9,5,55.6%,9,4,44.4%,9,6,66.7%,9,6,66.7%
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,31,25,80.6%,30,24,80.0%,24,17,70.8%,28,19,67.9%,29,21,72.4%,29,16,55.2%,29,17,58.6%,28,19,67.9%,30,23,76.7%,29,19,65.5%,30,22,73.3%,30,19,63.3%,29,22,75.9%,29,22,75.9%,28,23,82.1%,30,20,66.7%,30,20,66.7%,30,19,63.3%,28,17,60.7%,29,18,62.1%,30,16,53.3%,30,15,50.0%,30,15,50.0%,29,14,48.3%,29,18,62.1%,29,19,65.5%,30,19,63.3%,30,19,63.3%,30,21,70.0%,30,19,63.3%,29,21,72.4%,28,21,75.0%,30,24,80.0%,32,23,71.9%,32,25,78.1%,32,26,81.3%,29,23,79.3%,30,22,73.3%,30,21,70.0%,29,19,65.5%,29,18,62.1%,29,18,62.1%,29,21,72.4%,28,18,64.3%,29,19,65.5%,29,21,72.4%,29,21,72.4%,29,20,69.0%,29,20,69.0%,28,21,75.0%,28,22,78.6%,28,21,75.0%,28,20,71.4%,29,21,72.4%,29,20,69.0%,30,20,66.7%,28,22,78.6%,32,20,62.5%,30,20,66.7%,31,23,74.2%,30,22,73.3%,30,21,70.0%,30,23,76.7%,30,21,70.0%,28,22,78.6%,30,24,80.0%,29,23,79.3%,29,21,72.4%,30,19,63.3%,29,19,65.5%,28,21,75.0%,25,21,84.0%,22,17,77.3%,22,18,81.8%,23,19,82.6%,22,21,95.5%,23,20,87.0%,23,16,69.6%,24,17,70.8%,24,19,79.2%,24,22,91.7%,25,20,80.0%,26,18,69.2%,26,19,73.1%,26,22,84.6%,26,22,84.6%,25,20,80.0%,25,23,92.0%,25,22,88.0%,25,20,80.0%,25,19,76.0%
RGN,North West Anglia NHS Foundation Trust,22,13,59.1%,22,14,63.6%,22,16,72.7%,22,13,59.1%,22,11,50.0%,22,11,50.0%,22,10,45.5%,22,13,59.1%,22,11,50.0%,22,11,50.0%,22,14,63.6%,22,13,59.1%,22,14,63.6%,22,15,68.2%,22,17,77.3%,22,17,77.3%,22,17,77.3%,22,15,68.2%,22,14,63.6%,22,15,68.2%,22,16,72.7%,22,15,68.2%,22,13,59.1%,22,11,50.0%,22,12,54.5%,22,9,40.9%,22,8,36.4%,22,10,45.5%,22,11,50.0%,22,12,54.5%,22,13,59.1%,22,13,59.1%,22,11,50.0%,22,12,54.5%,22,13,59.1%,22,16,72.7%,22,18,81.8%,22,14,63.6%,22,13,59.1%,22,15,68.2%,22,13,59.1%,22,13,59.1%,22,14,63.6%,22,18,81.8%,22,15,68.2%,22,17,77.3%,22,19,86.4%,22,16,72.7%,22,16,72.7%,22,17,77.3%,22,19,86.4%,22,16,72.7%,22,14,63.6%,22,14,63.6%,22,14,63.6%,22,16,72.7%,22,18,81.8%,22,20,90.9%,22,18,81.8%,22,19,86.4%,22,17,77.3%,22,16,72.7%,22,13,59.1%,22,14,63.6%,22,12,54.5%,22,17,77.3%,22,16,72.7%,22,16,72.7%,22,15,68.2%,22,16,72.7%,22,17,77.3%,22,16,72.7%,22,18,81.8%,22,15,68.2%,22,14,63.6%,22,13,59.1%,22,15,68.2%,22,15,68.2%,22,17,77.3%,22,16,72.7%,22,18,81.8%,22,17,77.3%,22,18,81.8%,22,16,72.7%,22,16,72.7%,22,16,72.7%,22,18,81.8%,22,17,77.3%,22,18,81.8%,22,18,81.8%,22,16,72.7%
RNS,Northampton General Hospital NHS Trust,16,12,75.0%,16,12,75.0%,16,12,75.0%,16,11,68.8%,16,12,75.0%,16,10,62.5%,16,10,62.5%,16,12,75.0%,16,13,81.3%,16,13,81.3%,16,11,68.8%,16,11,68.8%,16,11,68.8%,16,11,68.8%,16,13,81.3%,16,11,68.8%,16,14,87.5%,16,12,75.0%,16,12,75.0%,16,9,56.3%,16,10,62.5%,16,8,50.0%,16,9,56.3%,16,11,68.8%,16,10,62.5%,16,9,56.3%,16,11,68.8%,16,12,75.0%,16,14,87.5%,16,12,75.0%,16,15,93.8%,16,15,93.8%,16,14,87.5%,16,13,81.3%,16,11,68.8%,16,13,81.3%,16,15,93.8%,16,12,75.0%,16,14,87.5%,16,11,68.8%,16,12,75.0%,16,13,81.3%,16,14,87.5%,16,11,68.8%,16,10,62.5%,16,8,50.0%,16,10,62.5%,16,12,75.0%,16,11,68.8%,16,11,68.8%,16,14,87.5%,16,13,81.3%,16,14,87.5%,16,10,62.5%,16,11,68.8%,16,9,56.3%,16,10,62.5%,16,10,62.5%,16,12,75.0%,16,13,81.3%,16,13,81.3%,16,13,81.3%,16,11,68.8%,16,11,68.8%,16,13,81.3%,16,11,68.8%,16,11,68.8%,16,10,62.5%,16,12,75.0%,16,13,81.3%,16,13,81.3%,16,12,75.0%,16,14,87.5%,16,13,81.3%,16,14,87.5%,16,12,75.0%,16,13,81.3%,16,12,75.0%,16,11,68.8%,16,12,75.0%,16,12,75.0%,16,14,87.5%,16,13,81.3%,16,11,68.8%,16,12,75.0%,16,13,81.3%,16,13,81.3%,16,12,75.0%,16,12,75.0%,16,12,75.0%,16,12,75.0%
